category_english,orders,gmv,freight,avg_price,avg_freight,avg_review_score,low_rating_count,delivered_orders,late_count,avg_lead_time_days,revenue,freight_ratio_pct,low_rating_rate_pct,late_rate_pct,price_diff_vs_baseline,freight_diff_vs_baseline,review_diff_vs_baseline,low_rating_diff_vs_baseline,late_rate_diff_vs_baseline
construction_tools_lights,236,42413.9,7690.28,179.7199152542373,32.58593220338983,4.088983050847458,29,234,21,9.790447530864197,50104.18,18.13150877424618,12.288135593220339,8.974358974358974,41.96991525423729,9.76593220338983,0.018983050847457328,-2.75186440677966,0.864358974358975
construction_tools_safety,163,40347.7,3908.83,247.53190184049078,23.980552147239262,3.8773006134969323,32,155,7,11.735801896654719,44256.53,9.687863248710583,19.631901840490798,4.516129032258064,109.78190184049078,1.1605521472392617,-0.19269938650306795,4.591901840490799,-3.5938709677419354
industry_commerce_and_business,235,40219.3,8130.09,171.14595744680852,34.59612765957447,4.165957446808511,28,232,19,10.894468594676928,48349.39,20.214399554442767,11.914893617021278,8.189655172413794,33.395957446808524,11.77612765957447,0.09595744680851048,-3.1251063829787213,0.07965517241379416
market_place,276,29400.48,5682.84,106.52347826086957,20.59,4.032608695652174,38,270,13,12.355230838477366,35083.32,19.329072178413416,13.768115942028986,4.814814814814815,-31.226521739130433,-2.2300000000000004,-0.03739130434782645,-1.271884057971013,-3.2951851851851846
food,445,29269.65,7251.46,65.77449438202248,16.29541573033708,4.249438202247191,55,436,44,9.846985696992865,36521.11,24.774672741218293,12.359550561797752,10.091743119266056,-71.97550561797752,-6.52458426966292,0.17943820224719076,-2.6804494382022472,1.9817431192660564
costruction_tools_garden,188,25804.75,5341.8,137.2593085106383,28.413829787234043,4.23404255319149,24,184,13,11.903970536433173,31146.55,20.70083996163497,12.76595744680851,7.065217391304348,-0.49069148936169427,5.593829787234043,0.1640425531914893,-2.2740425531914887,-1.0447826086956518
art,199,24044.1,4043.24,120.82462311557788,20.317788944723617,4.030150753768845,31,192,15,11.328749035493827,28087.339999999997,16.815934054508176,15.577889447236181,7.8125,-16.92537688442212,-2.5022110552763834,-0.03984924623115571,0.5378894472361821,-0.29749999999999943
fashion_shoes,238,23493.97,4888.72,98.71415966386554,20.540840336134455,4.180672268907563,32,233,15,15.739348225639803,28382.690000000002,20.80840317749618,13.445378151260504,6.437768240343347,-39.035840336134456,-2.2791596638655456,0.11067226890756299,-1.5946218487394948,-1.6722317596566523
drinks,289,21896.52,5587.45,75.76650519031142,19.333737024221453,4.159169550173011,35,279,18,10.451560301340766,27483.97,25.51752515924905,12.110726643598616,6.451612903225806,-61.98349480968858,-3.4862629757785477,0.08916955017301031,-2.9292733564013833,-1.6583870967741934
signaling_and_security,139,21433.33,6486.5,154.19661870503597,46.66546762589928,4.107913669064748,16,137,8,10.877557447958909,27919.83,30.26361279371894,11.510791366906476,5.839416058394161,16.446618705035974,23.845467625899282,0.037913669064748134,-3.529208633093523,-2.270583941605839
furniture_bedroom,93,19545.68,4551.05,210.16860215053765,48.936021505376345,4.161290322580645,14,88,7,13.898752498947811,24096.73,23.28417328023379,15.053763440860216,7.954545454545454,72.41860215053765,26.116021505376345,0.09129032258064473,0.013763440860216747,-0.1554545454545453
books_technical,259,19213.98,4336.16,74.18525096525096,16.7419305019305,4.382239382239383,27,255,28,10.615925517429195,23550.14,22.5677345349584,10.424710424710424,10.980392156862745,-63.56474903474904,-6.0780694980695,0.3122393822393823,-4.615289575289575,2.8703921568627457
